,Артикул,Бренд,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Цветность,Чистота,Огранка,Тип вставки 2,Форма вставки 2,Количество 2,Цвет 2,Вес 2,Цветность 2,Чистота 2,Огранка 2,Цена со скидкой,Цена без скидки,Номер страницы,Ширина кольца,Ширина,Высота,Длина,Размеры вставки,Коллекция,Тип вставки 3,Форма вставки 3,Количество 3,Цвет 3,Вес 3,Цветность 3,Чистота 3,Тип вставки 4,Форма вставки 4,Количество 4,Цвет 4,Вес 4,Размеры вставки 2,Тип вставки 5,Форма вставки 5,Количество 5,Цвет 5,Вес 5,Размеры вставки 3,Размеры вставки 4,Размеры вставки 5,Тип вставки 6,Форма вставки 6,Количество 6,Цвет 6,Вес 6,Размеры вставки 6,Тип вставки 7,Форма вставки 7,Количество 7,Цвет 7,Вес 7,Размеры вставки 7,Тип вставки 8,Форма вставки 8,Количество 8,Цвет 8,Вес 8,Размеры вставки 8,Тип вставки 9,Форма вставки 9,Количество 9,Цвет 9,Вес 9,Размеры вставки 9,Огранка 3,Цветность 4,Чистота 4,Огранка 4,Тип вставки 10,Форма вставки 10,Количество 10,Цвет 10,Вес 10,Размеры вставки 10,Тип вставки 11,Форма вставки 11,Количество 11,Цвет 11,Вес 11,Размеры вставки 11,Тип вставки 12,Форма вставки 12,Количество 12,Цвет 12,Вес 12,Размеры вставки 12,Тип вставки 13,Форма вставки 13,Количество 13,Цвет 13,Вес 13,Размеры вставки 13,Тип вставки 14,Форма вставки 14,Количество 14,Цвет 14,Вес 14,Размеры вставки 14,Цветность 5,Чистота 5,Цветность 6,Чистота 6,Цветность 7,Чистота 7,Огранка 5,Цветность 8,Чистота 8,Цветность 9,Чистота 9,Цветность 10,Чистота 10
8199,9010225,SOKOLOV,Для женщин,2.06 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.26 карат,3.0,6.0,,,,,,,,,,169870,377490,118,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8200,9010226,SOKOLOV,Для женщин,2.3 г,Красное золото,585.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.418 карат,5.0,7.0,,,,,,,,,,241420,536490,118,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8201,9010227,SOKOLOV,Для женщин,2.26 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.418 карат,5.0,7.0,,,,,,,,,,240970,535490,118,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8202,9010228,SOKOLOV,Для женщин,2.68 г,Красное золото,585.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.61 карат,5.0,7.0,,,,,,,,,,514120,1142490,118,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8203,9010229,SOKOLOV,Для женщин,2.61 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.61 карат,5.0,7.0,,,,,,,,,,513220,1140490,118,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8204,9010230,SOKOLOV,Для женщин,2.48 г,Красное золото,585.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.33 карат,5.0,7.0,,,,,,,,,,193950,430990,118,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8205,9010231,SOKOLOV,Для женщин,2.4 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.33 карат,5.0,7.0,,,,,,,,,,192600,427990,118,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8206,9010232,SOKOLOV,Для женщин,1.93 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.26 карат,3.0,6.0,,Бриллиант (природный),Круг,26 шт,Бесцветный,0.203 карат,2.0,3.0,,193950,430990,118,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8207,9010233-5,SOKOLOV,Для женщин,2.54 г,Красное золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.86 карат,2.0,5.0,,Бриллиант выращенный,Маркиз,6 шт,Бесцветный,,2.0,5.0,,204070,453490,118,1 мм,20 мм,,25 мм,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8208,9010234-5,SOKOLOV,Для женщин,2.47 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.86 карат,2.0,5.0,,Бриллиант выращенный,Маркиз,6 шт,Бесцветный,,2.0,5.0,,202950,450990,118,1 мм,20 мм,,25 мм,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8209,9010235-5,SOKOLOV,Для женщин,2.84 г,Красное золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.75 карат,2.0,5.0,,Бриллиант выращенный,Круг,20 шт,Бесцветный,0.15 карат,2.0,5.0,,408990,408990,118,2 мм,,,,,LAB CREATED DIAMONDS,Бриллиант выращенный,Круг,26 шт,Бесцветный,0.104 карат,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8210,9010236-5,SOKOLOV,Для женщин,2.77 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.75 карат,2.0,5.0,,Бриллиант выращенный,Круг,20 шт,Бесцветный,0.15 карат,2.0,5.0,,406490,406490,118,2 мм,,,,,LAB CREATED DIAMONDS,Бриллиант выращенный,Круг,26 шт,Бесцветный,0.104 карат,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8211,9010237-5,SOKOLOV,Для женщин,3.43 г,Красное золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.42 карат,2.0,5.0,,Бриллиант выращенный,Круг,12 шт,Бесцветный,0.06 карат,2.0,5.0,,130500,289990,118,2 мм,,,,,LAB CREATED DIAMONDS,Бриллиант выращенный,Круг,14 шт,Бесцветный,0.056 карат,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8212,9010238-5,SOKOLOV,Для женщин,3.63 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.42 карат,2.0,5.0,,Бриллиант выращенный,Круг,12 шт,Бесцветный,0.06 карат,2.0,5.0,,295490,295490,118,2 мм,,,,,LAB CREATED DIAMONDS,Бриллиант выращенный,Круг,14 шт,Бесцветный,0.056 карат,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8213,9010239,SOKOLOV,Для женщин,1.99 г,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.325 карат,3.0,6.0,,,,,,,,,,499990,499990,118,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8214,9010244,SOKOLOV,Для женщин,2.04 г,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.61 карат,4.0,7.0,,,,,,,,,,939990,939990,118,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8215,9010245,SOKOLOV,Для женщин,2.03 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.61 карат,4.0,7.0,,,,,,,,,,939990,939990,118,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8216,9010246,SOKOLOV,Для женщин,1.76 г,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.26 карат,3.0,6.0,,,,,,,,,,379490,379490,118,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8217,9010247,SOKOLOV,Для женщин,1.83 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.26 карат,3.0,6.0,,,,,,,,,,382990,382990,118,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8218,9010248-5,SOKOLOV,Для женщин,2.28 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,1.05 карат,2.0,5.0,,Бриллиант выращенный,Круг,2 шт,Бесцветный,0.2 карат,2.0,5.0,,616990,616990,118,2 мм,,,,,,Бриллиант выращенный,Круг,24 шт,Бесцветный,0.096 карат,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8219,9010249-5,SOKOLOV,Для женщин,2.46 г,Красное золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,1.05 карат,2.0,5.0,,Бриллиант выращенный,Круг,34 шт,Бесцветный,0.136 карат,2.0,5.0,,602990,602990,118,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8220,9010250-5,SOKOLOV,Для женщин,2.49 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,1.05 карат,2.0,5.0,,Бриллиант выращенный,Круг,34 шт,Бесцветный,0.136 карат,2.0,5.0,,584990,584990,118,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8221,9010251-5,SOKOLOV,Для женщин,2.62 г,Красное золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.935 карат,2.0,5.0,,Бриллиант выращенный,Круг,16 шт,Бесцветный,0.064 карат,2.0,5.0,,458490,458490,118,2 мм,20 мм,,24 мм,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8222,9010252-5,SOKOLOV,Для женщин,2.55 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.935 карат,2.0,5.0,,Бриллиант выращенный,Круг,16 шт,Бесцветный,0.064 карат,2.0,5.0,,440990,440990,118,2 мм,20 мм,,24 мм,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8223,9010253-5,SOKOLOV,Для женщин,2.19 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.515 карат,2.0,5.0,,Бриллиант выращенный,Маркиз,4 шт,Бесцветный,0.324 карат,2.0,5.0,,310490,310490,118,2 мм,,,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8224,9010254-5,SOKOLOV,Для женщин,2.75 г,Красное золото,585.0,Родирование,Бриллиант выращенный,Груша,1 шт,Бесцветный,0.73 карат,2.0,5.0,,Бриллиант выращенный,Круг,35 шт,Бесцветный,0.14 карат,2.0,5.0,,410490,410490,118,2 мм,,,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8225,9010255-5,SOKOLOV,Для женщин,2.88 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Груша,1 шт,Бесцветный,0.73 карат,2.0,5.0,,Бриллиант выращенный,Круг,35 шт,Бесцветный,0.14 карат,2.0,5.0,,416990,416990,118,2 мм,,,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8226,9010256-5,SOKOLOV,Для женщин,3.07 г,Красное золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.935 карат,2.0,5.0,,Бриллиант выращенный,Круг,4 шт,Бесцветный,0.12 карат,2.0,5.0,,460990,460990,118,2 мм,,,,,,Бриллиант выращенный,Круг,20 шт,Бесцветный,0.08 карат,2.0,5.0,Бриллиант выращенный,Круг,10 шт,Бесцветный,0.075 карат,,Бриллиант выращенный,Круг,4 шт,Бесцветный,0.062 карат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,,,,
8227,9010257-5,SOKOLOV,Для женщин,2.93 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.935 карат,2.0,5.0,,Бриллиант выращенный,Круг,4 шт,Бесцветный,0.12 карат,2.0,5.0,,454990,454990,118,2 мм,,,,,,Бриллиант выращенный,Круг,20 шт,Бесцветный,0.08 карат,2.0,5.0,Бриллиант выращенный,Круг,10 шт,Бесцветный,0.075 карат,,Бриллиант выращенный,Круг,4 шт,Бесцветный,0.062 карат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,,,,
8228,9010258-3-5,SOKOLOV,Для женщин,2.42 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Багет,1 шт,Бесцветный,0.862 карат,2.0,5.0,,Бриллиант выращенный,Круг,42 шт,Бесцветный,0.168 карат,2.0,5.0,,424990,424990,118,1 мм,,,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8229,9010258-5,SOKOLOV,Для женщин,2.41 г,Красное золото,585.0,Родирование,Бриллиант выращенный,Багет,1 шт,Бесцветный,0.862 карат,2.0,5.0,,Бриллиант выращенный,Круг,42 шт,Бесцветный,0.168 карат,2.0,5.0,,424990,424990,118,1 мм,,,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8230,92014420,SOKOLOV,Для женщин,2.11 г,Родированное серебро,925.0,Родирование,Топаз,Груша,1 шт,Голубой,2.168 карат,,,,Топаз,Груша,2 шт,Голубой,0.49 карат,,,,4270,9490,118,2 мм,,,,10 мм * 7 мм,,Фианит,Груша,2 шт,Бесцветный,0.632 карат,,,,,,,,5 мм * 3 мм,,,,,,5 мм * 3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8231,92014553,SOKOLOV,Для женщин,4.6 г,Золочёное серебро,925.0,"Золочение,  Родирование",Агат,Груша,2 шт,Зелёный,0.684 карат,,,,Агат,Круг,3 шт,Зелёный,0.042 карат,,,,6300,13990,118,6 мм,,,,6 мм * 4 мм,,Агат,Круг,3 шт,Зелёный,0.171 карат,,,Агат,Маркиз,2 шт,Зелёный,0.244 карат,"1, 5 мм",Фианит,Круг,1 шт,Зелёный,0.015 карат,"2, 5 мм","5 мм * 2, 5 мм","1, 5 мм",Фианит,Круг,41 шт,Чёрный,0.168 карат,1 мм,Фианит,Круг,51 шт,Чёрный,0.423 карат,"1, 25 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8232,93010603,SOKOLOV,Для женщин,2.01 г,Золочёное серебро,925.0,"Золочение,  Родирование",Фианит,Круг,1 шт,Бесцветный,0.066 карат,,,,Фианит,Круг,2 шт,Бесцветный,0.017 карат,,,,1980,4390,118,,,,,2 мм,,Фианит,Круг,4 шт,Бесцветный,0.114 карат,,,,,,,,1 мм,,,,,,"1, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8233,94014155,SOKOLOV,Для женщин,1.83 г,Родированное серебро,925.0,Родирование,Без вставок,,,,,,,,,,,,,,,,1440,3190,118,2 мм,6 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8234,94014157,SOKOLOV,Для женщин,1.98 г,Родированное серебро,925.0,Родирование,Фианит,Круг,1 шт,Бесцветный,0.846 карат,,,,Фианит,Круг,21 шт,Бесцветный,0.179 карат,,,,2160,4790,118,2 мм,,,,5 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8235,94014230,SOKOLOV,Для женщин,4.27 г,Родированное серебро,925.0,,Фианит,Груша,1 шт,Розовый,4.659 карат,,,,Фианит,Октагон,1 шт,Сиреневый,4.941 карат,,,,3370,7490,118,2 мм,,,,12 мм * 8 мм,,,,,,,,,,,,,,10 мм * 8 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8236,94014255,SOKOLOV,Для женщин,1.27 г,Родированное серебро,925.0,Родирование,Фианит,Октагон,1 шт,Голубой,1.55 карат,,,,,,,,,,,,1890,4190,119,2 мм,,,,7 мм * 5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8237,94014256,SOKOLOV,Для женщин,4.39 г,Родированное серебро,925.0,Родирование,Фианит,Круг,1 шт,Голубой,10.91 карат,,,,,,,,,,,,4590,10190,119,2 мм,,,,12 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8238,94014266,SOKOLOV,Для мужчин,3.78 г,Родированное серебро,925.0,Эмаль,Фианит,Круг,10 шт,Бесцветный,0.285 карат,,,,Эмаль,,1 шт,,0.48 карат,,,,3820,8490,119,3 мм,,,,"1, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8239,94014285,SOKOLOV,Для детей,1.71 г,Родированное серебро,925.0,Эмаль,Эмаль,,1 шт,,0.48 карат,,,,,,,,,,,,2520,5590,119,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8240,94014286,SOKOLOV,Для женщин,3.46 г,Родированное серебро,925.0,,Фианит,Круг,38 шт,Бесцветный,0.323 карат,,,,,,,,,,,,3600,7990,119,6 мм,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8241,017325-2,SOKOLOV,Для женщин,1.21 г,Жёлтое золото,585.0,"Алмазная грань,  Родирование",Без вставок,,,,,,,,,,,,,,,,17100,37990,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8242,017416-2,SOKOLOV,Для женщин,1.61 г,Жёлтое золото,585.0,Родирование,Фианит,Круг,3 шт,Бесцветный,0.367 карат,,,,Фианит,Круг,6 шт,Бесцветный,0.099 карат,,,,21600,47990,119,,,,,"2, 5 мм",,Фианит,Круг,27 шт,Бесцветный,0.23 карат,,,,,,,,"1, 25 мм",,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8243,017416-4,SOKOLOV,Для женщин,1.38 г,Красное золото,375.0,Родирование,Фианит,Круг,3 шт,Бесцветный,0.367 карат,,,,Фианит,Круг,6 шт,Бесцветный,0.099 карат,,,,13500,29990,119,,,,,"2, 5 мм",,Фианит,Круг,27 шт,Бесцветный,0.23 карат,,,,,,,,"1, 25 мм",,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8244,017425-4,SOKOLOV,Для женщин,1.86 г,Красное золото,375.0,Родирование,Фианит,Круг,1 шт,Бесцветный,0.846 карат,,,,Фианит,Круг,36 шт,Бесцветный,0.306 карат,,,,14850,32990,119,,,,,5 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8245,017677,SOKOLOV,Для женщин,2.66 г,Красное золото,585.0,Родирование,Без вставок,,,,,,,,,,,,,,,,27000,89990,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8246,017932-4,SOKOLOV,Для женщин,1.42 г,Красное золото,375.0,Родирование,Фианит,Круг,1 шт,Бесцветный,0.451 карат,,,,Фианит,Круг,13 шт,Бесцветный,0.111 карат,,,,11250,24990,119,,,,,4 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8247,018099,SOKOLOV,Для женщин,1.64 г,Красное золото,585.0,Родирование,Фианит,Круг,4 шт,Бесцветный,0.114 карат,,,,Фианит,Круг,17 шт,Бесцветный,0.145 карат,,,,15750,34990,119,2 мм,10 мм,1 мм,17 мм,"1, 5 мм",,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8248,018132,SOKOLOV,Для женщин,1.4 г,Красное золото,585.0,,Фианит,Круг,5 шт,Бесцветный,0.612 карат,,,,,,,,,,,,15750,34990,119,2 мм,5 мм,2 мм,13 мм,"2, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8249,018520-3,SOKOLOV,Для женщин,1.81 г,Белое золото,585.0,Родирование,Фианит,Круг,1 шт,Бесцветный,0.846 карат,,,,Фианит,Круг,15 шт,Бесцветный,0.128 карат,,,,19350,42990,119,,,,,5 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8250,018553-3,SOKOLOV,Для женщин,2.22 г,Белое золото,585.0,Родирование,Фианит,Круг,25 шт,Бесцветный,0.213 карат,,,,,,,,,,,,26100,57990,119,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8251,019042-3,SOKOLOV,Для женщин,1.56 г,Белое золото,585.0,Родирование,Фианит,Круг,34 шт,Бесцветный,0.289 карат,,,,,,,,,,,,16500,54990,119,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8252,019420,SOKOLOV,Для женщин,3.37 г,Красное золото,585.0,Родирование,Без вставок,,,,,,,,,,,,,,,,39600,87990,119,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8253,1012359,SOKOLOV,Для женщин,3.81 г,Красное золото,585.0,,Бриллиант (природный),Круг,8 шт,Бесцветный,0.432 карат,3.0,6.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.26 карат,3.0,6.0,,199500,664990,119,2 мм,10 мм,7 мм,10 мм,,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8254,1012410-66,SOKOLOV,Для женщин,1.52 г,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.151 карат,6.0,6.0,,,,,,,,,,48000,159990,119,2 мм,3 мм,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
