,Артикул,Бренд,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Цветность,Чистота,Огранка,Тип вставки 2,Форма вставки 2,Количество 2,Цвет 2,Вес 2,Цветность 2,Чистота 2,Огранка 2,Цена со скидкой,Цена без скидки,Номер страницы,Ширина кольца,Ширина,Высота,Длина,Размеры вставки,Коллекция,Тип вставки 3,Форма вставки 3,Количество 3,Цвет 3,Вес 3,Цветность 3,Чистота 3,Тип вставки 4,Форма вставки 4,Количество 4,Цвет 4,Вес 4,Размеры вставки 2,Тип вставки 5,Форма вставки 5,Количество 5,Цвет 5,Вес 5,Размеры вставки 3,Размеры вставки 4,Размеры вставки 5,Тип вставки 6,Форма вставки 6,Количество 6,Цвет 6,Вес 6,Размеры вставки 6,Тип вставки 7,Форма вставки 7,Количество 7,Цвет 7,Вес 7,Размеры вставки 7,Тип вставки 8,Форма вставки 8,Количество 8,Цвет 8,Вес 8,Размеры вставки 8,Тип вставки 9,Форма вставки 9,Количество 9,Цвет 9,Вес 9,Размеры вставки 9,Огранка 3,Цветность 4,Чистота 4,Огранка 4,Тип вставки 10,Форма вставки 10,Количество 10,Цвет 10,Вес 10,Размеры вставки 10,Тип вставки 11,Форма вставки 11,Количество 11,Цвет 11,Вес 11,Размеры вставки 11,Тип вставки 12,Форма вставки 12,Количество 12,Цвет 12,Вес 12,Размеры вставки 12,Тип вставки 13,Форма вставки 13,Количество 13,Цвет 13,Вес 13,Размеры вставки 13,Тип вставки 14,Форма вставки 14,Количество 14,Цвет 14,Вес 14,Размеры вставки 14
1584,2011117,SOKOLOV,Для женщин,1.6 г,Белое золото,585,Родирование,Сапфир,Овал,1 шт,Синий,0.209 карат,2,2,,Бриллиант (природный),Круг,2 шт,Бесцветный,0.007 карат,2,3,,35100,77990,23,2 мм,5 мм,4 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,2011197,SOKOLOV,Для женщин,2.28 г,Комбинированное золото,585,Родирование,Сапфир,Круг,1 шт,Синий,0.135 карат,2,2,А,Бриллиант (природный),Круг,16 шт,Бесцветный,0.1 карат,2,3,,39000,129990,23,2 мм,4 мм,4 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586,3010603,SOKOLOV,Для женщин,1.83 г,Красное золото,585,Родирование,Изумруд натуральный,Круг,1 шт,Зелёный,0.141 карат,3,3,,Бриллиант (природный),Круг,14 шт,Бесцветный,0.052 карат,2,3,,47250,104990,23,2 мм,4 мм,4 мм,6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,4010657,SOKOLOV,Для женщин,2.23 г,Красное золото,585,Родирование,Рубин,Овал,1 шт,Красный,1.22 карат,2,2,,Бриллиант (природный),Круг,22 шт,Бесцветный,0.064 карат,,3,,54000,119990,23,2 мм,12 мм,5 мм,10 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,7010091-3,SOKOLOV,Для женщин,1.64 г,Белое золото,585,Родирование,Черный бриллиант,Круг,1 шт,Чёрный,0.349 карат,7,6,А,Бриллиант (природный),Круг,14 шт,Бесцветный,0.055 карат,2,3,А,81000,179990,23,2 мм,4 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,71-00159-3,SOKOLOV,Для женщин,1.67 г,Белое золото,585,,Бриллиант (природный),Круг,23 шт,Бесцветный,0.067 карат,2,3,,Гидротермальный изумруд (синт.),Круг,12 шт,Зелёный,0.254 карат,,,,37350,82990,23,,,,,"1, 75 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,71-00258,SOKOLOV,Для женщин,2.44 г,Красное золото,585,,Бриллиант (природный),Круг,22 шт,Бесцветный,0.081 карат,2,3,,Корунд,Круг,7 шт,Синий,0.606 карат,,,,44100,97990,23,2 мм,,,,"2, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,714459,SOKOLOV,Для женщин,1.94 г,Красное золото,585,Родирование,Гранат,Груша,1 шт,Красный,0.829 карат,,,,Фианит,Круг,2 шт,Бесцветный,0.057 карат,,,,23850,52990,23,,,,,7 мм * 5 мм,,Фианит,Круг,4 шт,Бесцветный,0.066 карат,,,Фианит,Круг,19 шт,Бесцветный,0.162 карат,"1, 5 мм",,,,,,"1, 25 мм",1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,714693,SOKOLOV,Для женщин,2.48 г,Красное золото,585,Родирование,Раухтопаз,Груша,1 шт,Коричневый,1.69 карат,,,,Фианит,Круг,13 шт,Коричневый,0.112 карат,,,,33750,74990,23,,,,,10 мм * 7 мм,,Фианит,Круг,16 шт,Коричневый,0.259 карат,,,,,,,,1 мм,,,,,,"1, 25 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,714824,SOKOLOV,Для женщин,3.08 г,Красное золото,585,Родирование,Гранат,Круг,1 шт,Красный,0.087 карат,,,,Гранат,Овал,1 шт,Красный,0.551 карат,,,,42750,94990,23,,,,,"2, 5 мм",,Гранат,Овал,2 шт,Красный,0.579 карат,,,Фианит,Круг,31 шт,Красный,0.14 карат,6 мм * 4 мм,,,,,,5 мм * 3 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,715027-3,SOKOLOV,Для женщин,2.51 г,Белое золото,585,Родирование,Топаз,Круг,1 шт,Голубой,0.019 карат,,,,Лондон топаз,Круг,1 шт,Голубой,0.079 карат,,,,27000,89990,23,,,,,"1, 5 мм",,Топаз,Круг,1 шт,Голубой,0.084 карат,,,Лондон топаз,Круг,2 шт,Голубой,0.086 карат,"2, 5 мм",Топаз,Круг,3 шт,Голубой,0.133 карат,"2, 5 мм",2 мм,2 мм,Лондон топаз,Маркиз,1 шт,Голубой,1.956 карат,12 мм * 6 мм,Фианит,Круг,1 шт,Голубой,0.014 карат,"1, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,715061,SOKOLOV,Для женщин,1.65 г,Красное золото,585,Родирование,Лондон топаз,Овал,1 шт,Голубой,1.361 карат,,,,Фианит,Круг,12 шт,Бесцветный,0.102 карат,,,,23850,52990,23,,,,,8 мм * 6 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596,715636,SOKOLOV,Для женщин,2.12 г,Красное золото,585,Родирование,Аметист,Груша,1 шт,Сиреневый,0.349 карат,,,,Аметист,Груша,2 шт,Сиреневый,0.373 карат,,,,33750,74990,23,2 мм,12 мм,4 мм,13 мм,6 мм * 4 мм,,Фианит,Круг,1 шт,Бесцветный,0.029 карат,,,Фианит,Круг,3 шт,Бесцветный,0.129 карат,5 мм * 3 мм,,,,,,"1, 5 мм","1, 75 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,715791,SOKOLOV,Для женщин,2.62 г,Красное золото,585,,Корунд,Маркиз,11 шт,Синий,1.757 карат,,,,,,,,,,,,26100,57990,23,2 мм,24 мм,3 мм,12 мм,"5 мм * 2, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,716059,SOKOLOV,Для женщин,2.73 г,Красное золото,585,Родирование,Горный хрусталь,Антик,1 шт,Бесцветный,3.83 карат,,,,Фианит,Круг,6 шт,Бесцветный,0.258 карат,,,,25500,84990,23,2 мм,10 мм,6 мм,17 мм,10 мм * 10 мм,,,,,,,,,,,,,,"1, 75 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,716135,SOKOLOV,Для женщин,1.58 г,Красное золото,585,,Топаз,Круг,1 шт,Голубой,0.554 карат,,,,,,,,,,,,15900,52990,23,2 мм,5 мм,5 мм,6 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,716247,SOKOLOV,Для женщин,1.57 г,Красное золото,585,Родирование,Агат,Овал,1 шт,Чёрный,1.119 карат,,,,Фианит,Круг,4 шт,Бесцветный,0.034 карат,,,,19350,42990,23,1 мм,8 мм,4 мм,6 мм,8 мм * 6 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,716321,SOKOLOV,Для женщин,1.09 г,Красное золото,585,,Опал натуральный,Овал,1 шт,Розовый,0.762 карат,,,,,,,,,,,,12600,27990,23,1 мм,7 мм,4 мм,5 мм,7 мм * 5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,716325,SOKOLOV,Для женщин,1.91 г,Красное золото,585,,Раухтопаз,Квадрат,1 шт,Коричневый,2.282 карат,,,,,,,,,,,,19350,42990,23,2 мм,9 мм,6 мм,9 мм,8 мм * 8 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,716335,SOKOLOV,Для женщин,2.67 г,Красное золото,585,,Празиолит,Октагон,1 шт,Зелёный,3 карат,,,,Фианит,Круг,2 шт,Бесцветный,0.086 карат,,,,33750,74990,23,,,,,10 мм * 8 мм,,Фианит,Круг,2 шт,Бесцветный,0.057 карат,,,Фианит,Круг,2 шт,Бесцветный,0.901 карат,"1, 75 мм",,,,,,"1, 5 мм",4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,716335,SOKOLOV,Для женщин,2.67 г,Красное золото,585,,Празиолит,Октагон,1 шт,Зелёный,3 карат,,,,Фианит,Круг,2 шт,Бесцветный,0.086 карат,,,,33750,74990,24,,,,,10 мм * 8 мм,,Фианит,Круг,2 шт,Бесцветный,0.057 карат,,,Фианит,Круг,2 шт,Бесцветный,0.901 карат,"1, 75 мм",,,,,,"1, 5 мм",4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,716541,SOKOLOV,Для женщин,2.02 г,Красное золото,585,,Аметист,Маркиз,1 шт,Сиреневый,1.52 карат,,,,,,,,,,,,30600,67990,24,2 мм,14 мм,5 мм,15 мм,12 мм * 6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,716695,SOKOLOV,Для женщин,1.57 г,Красное золото,585,Родирование,Фианит,Круг,16 шт,Бесцветный,0.136 карат,,,,Цитрин,Овал,1 шт,Жёлтый,0.775 карат,,,,26100,57990,24,1 мм,7 мм,5 мм,5 мм,1 мм,,,,,,,,,,,,,,7 мм * 5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,716816,SOKOLOV,Для женщин,1.65 г,Красное золото,585,,Раухтопаз,Груша,1 шт,Коричневый,1.126 карат,,,,,,,,,,,,21600,47990,24,1 мм,8 мм,5 мм,11 мм,9 мм * 6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,716818,SOKOLOV,Для женщин,1.73 г,Красное золото,585,,Горный хрусталь,Груша,1 шт,Бесцветный,1.142 карат,,,,,,,,,,,,21000,69990,24,1 мм,8 мм,5 мм,11 мм,9 мм * 6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,716863,SOKOLOV,Для женщин,2.13 г,Красное золото,585,,Гранат,Маркиз,6 шт,Красный,1.075 карат,,,,Фианит,Круг,6 шт,Бесцветный,0.734 карат,,,,23850,52990,24,1 мм,8 мм,4 мм,18 мм,"5 мм * 2, 5 мм",,,,,,,,,,,,,,"2, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,716882,SOKOLOV,Для женщин,1.87 г,Красное золото,585,Родирование,Ситалл,Груша,1 шт,Сиреневый,1.725 карат,,,,Фианит,Круг,6 шт,Сиреневый,0.054 карат,,,,21600,47990,24,1 мм,16 мм,5 мм,7 мм,15 мм * 6 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,716915,SOKOLOV,Для женщин,2.26 г,Красное золото,585,Родирование,Гранат,Антик,1 шт,Красный,2.648 карат,,,,Фианит,Круг,14 шт,Жёлтый,0.129 карат,,,,23850,52990,24,1 мм,9 мм,5 мм,7 мм,9 мм * 7 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,716940,SOKOLOV,Для женщин,1.53 г,Красное золото,585,Родирование,Агат,Груша,1 шт,Зелёный,0.588 карат,,,,Агат,Груша,1 шт,Зелёный,0.342 карат,,,,15900,52990,24,1 мм,11 мм,3 мм,15 мм,7 мм * 5 мм,,Агат,Маркиз,1 шт,Зелёный,0.122 карат,,,Фианит,Круг,3 шт,Бесцветный,0.026 карат,6 мм * 4 мм,,,,,,"5 мм * 2, 5 мм",1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,716971,SOKOLOV,Для женщин,1.57 г,Красное золото,585,Родирование,Топаз,Овал,1 шт,Голубой,0.531 карат,,,,Фианит,Круг,12 шт,Бесцветный,0.102 карат,,,,21600,47990,24,2 мм,7 мм,4 мм,12 мм,6 мм * 4 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,791208,SOKOLOV,Для женщин,2.08 г,Красное золото,585,Родирование,Жемчуг натуральный,Круг,1 шт,Белый,3.24 карат,,,,Фианит,Круг,20 шт,Бесцветный,0.17 карат,,,,20400,67990,24,2 мм,9 мм,7 мм,9 мм,8 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,791221,SOKOLOV,Для женщин,2.14 г,Красное золото,585,Родирование,Жемчуг натуральный,Круг,1 шт,Белый,3.955 карат,,,,Фианит,Круг,12 шт,Бесцветный,0.198 карат,,,,16600,82990,24,1 мм,8 мм,9 мм,8 мм,"8 мм * 8, 5 мм",,Фианит,Круг,28 шт,Бесцветный,0.238 карат,,,,,,,,"1, 25 мм",,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,83010074,SOKOLOV,Для женщин,8.47 г,Серебро,925,,Лабрадорит,Груша,1 шт,Синий,9.924 карат,,,,Перламутр,Круг,1 шт,Белый,1.937 карат,,,,4500,9990,24,2 мм,19 мм,9 мм,25 мм,18 мм * 13 мм,,,,,,,,,,,,,,8 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,83010194,SOKOLOV,Для женщин,3.39 г,Родированное серебро,925,,Агат,Круг,1 шт,Чёрный,2.037 карат,,,,,,,,,,,,2400,7990,24,2 мм,11 мм,6 мм,,8 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,92011300,SOKOLOV,Для женщин,3.91 г,Родированное серебро,925,Эмаль,Ситалл,Квадрат,1 шт,Голубой,4.802 карат,,,,Фианит,Круг,36 шт,Синий,0.18 карат,,,,4950,10990,24,,,,,10 мм * 10 мм,,Эмаль,,1 шт,,0.48 карат,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,92011498,SOKOLOV,Для женщин,2.62 г,Родированное серебро,925,Эмаль,Ситалл,Круг,1 шт,Зелёный,0.529 карат,,,,Фианит,Круг,12 шт,Бесцветный,0.198 карат,,,,2040,6790,24,,,,,5 мм,,Фианит,Круг,18 шт,Бесцветный,0.153 карат,,,Эмаль,,1 шт,,0.48 карат,"1, 25 мм",,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,92011830,SOKOLOV,Для женщин,3.08 г,Родированное серебро,925,,Ситалл,Круг,1 шт,Бесцветный,5.103 карат,,,,Фианит,Круг,12 шт,,0.102 карат,,,,2400,7990,24,2 мм,14 мм,6 мм,14 мм,"12, 7 мм",,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,92011974,SOKOLOV,Для женщин,3.75 г,Родированное серебро,925,Родирование,Аметист,Груша,2 шт,Сиреневый,1.207 карат,,,,Аметист,Груша,2 шт,Сиреневый,0.698 карат,,,,6300,13990,24,2 мм,20 мм,5 мм,19 мм,7 мм * 5 мм,,Аметист,Маркиз,2 шт,Сиреневый,0.145 карат,,,Аметист,Маркиз,2 шт,Сиреневый,0.429 карат,6 мм * 4 мм,,,,,,4 мм * 2 мм,6 мм * 3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,92012023,SOKOLOV,Для женщин,1.68 г,Родированное серебро,925,,Лондон топаз,Овал,1 шт,Голубой,1.361 карат,,,,,,,,,,,,2550,8490,24,2 мм,8 мм,5 мм,6 мм,8 мм * 6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,93010503,SOKOLOV,Для женщин,1.44 г,Золочёное серебро,925,Золочение,Фианит,Круг,20 шт,Бесцветный,0.17 карат,,,,Фианит,Овал,1 шт,Бесцветный,0.354 карат,,,,2070,4590,24,,,,,1 мм,,,,,,,,,,,,,,5 мм * 3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,93010808,SOKOLOV,Для женщин,2.04 г,Золочёное серебро,925,,Фианит,Круг,1 шт,Бесцветный,1.455 карат,,,,Фианит,Круг,24 шт,Бесцветный,0.204 карат,,,,2520,5590,24,2 мм,7 мм,5 мм,19 мм,6 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,94012157,SOKOLOV,Для женщин,1.4 г,Родированное серебро,925,,Фианит,Круг,1 шт,Бесцветный,0.297 карат,,,,,,,,,,,,1530,3390,24,,,,,"3, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,94012282,SOKOLOV,Для женщин,2.11 г,Родированное серебро,925,Родирование,Фианит,Круг,1 шт,Бесцветный,0.846 карат,,,,Фианит,Круг,1 шт,Бесцветный,0.066 карат,,,,2520,5590,24,,,,,5 мм,,Фианит,Круг,2 шт,Бесцветный,0.086 карат,,,Фианит,Круг,2 шт,Бесцветный,0.057 карат,2 мм,Фианит,Круг,4 шт,Бесцветный,0.066 карат,"1, 75 мм","1, 5 мм","1, 25 мм",Фианит,Круг,18 шт,Бесцветный,0.153 карат,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,94012312,SOKOLOV,Для женщин,3.75 г,Родированное серебро,925,Родирование,Фианит,Круг,1 шт,Зелёный,0.123 карат,,,,Фианит,Круг,4 шт,Зелёный,0.066 карат,,,,4050,8990,24,,,,,"2, 5 мм",,Фианит,Круг,6 шт,Зелёный,0.266 карат,,,Фианит,Груша,2 шт,Сиреневый,1.2 карат,"1, 25 мм",Фианит,Груша,2 шт,Сиреневый,0.578 карат,"1, 75 мм",6 мм * 4 мм,5 мм * 3 мм,Фианит,Круг,2 шт,Сиреневый,0.036 карат,"1, 25 мм",Фианит,Круг,2 шт,Сиреневый,0.09 карат,"1, 75 мм",Фианит,Круг,2 шт,Сиреневый,0.059 карат,"1, 5 мм",Фианит,Круг,38 шт,Сиреневый,0.342 карат,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,94012779,SOKOLOV,Для женщин,2.13 г,Родированное серебро,925,Родирование,Жемчуг (синт.),Круг,1 шт,Бесцветный,2.564 карат,,,,Жемчуг (синт.),Круг,1 шт,Бесцветный,0.207 карат,,,,1260,2790,24,2 мм,10 мм,8 мм,14 мм,7 мм,,Фианит,Круг,1 шт,,0.066 карат,,,Фианит,Круг,1 шт,,0.043 карат,3 мм,,,,,,2 мм,"1, 75 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,94012790,SOKOLOV,Для женщин,1.8 г,Родированное серебро,925,Родирование,Фианит,Круг,1 шт,Бесцветный,0.122 карат,,,,,,,,,,,,1080,2390,24,2 мм,15 мм,2 мм,3 мм,"2, 5 мм",SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,94012879,SOKOLOV,Для женщин,1.73 г,Родированное серебро,925,Родирование,Фианит,Круг,1 шт,Бесцветный,0.297 карат,,,,Фианит,Круг,14 шт,Бесцветный,0.119 карат,,,,1890,4190,24,2 мм,8 мм,4 мм,15 мм,"3, 5 мм",,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,94012989,SOKOLOV,Для женщин,3.71 г,Родированное серебро,925,Родирование,Фианит,Волна,17 шт,Бесцветный,4.318 карат,,,,,,,,,,,,5850,12990,24,2 мм,20 мм,3 мм,20 мм,"5 мм * 2, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,94013463,SOKOLOV,Для женщин,1.64 г,Родированное серебро,925,,Без вставок,,,,,,,,,,,,,,,,2790,6190,24,2 мм,10 мм,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,94013643,SOKOLOV,Для женщин,1.24 г,Родированное серебро,925,,Фианит,Круг,1 шт,Бесцветный,0.201 карат,,,,,,,,,,,,1350,2990,24,,,,,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,94013672,SOKOLOV,Для женщин,4.14 г,Родированное серебро,925,,Фианит,Круг,28 шт,Бесцветный,0.462 карат,,,,Фианит,Круг,23 шт,Чёрный,0.191 карат,,,,2970,6590,24,,,,,"1, 25 мм",,,,,,,,,,,,,,"1, 25 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,94013715,SOKOLOV,Для женщин,1.92 г,Родированное серебро,925,,Фианит,Круг,2 шт,Бесцветный,0.317 карат,,,,Фианит,Октагон,1 шт,Бесцветный,1.871 карат,,,,1710,3790,24,,,,,"2, 75 мм",,,,,,,,,,,,,,6 мм * 6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,94013778,SOKOLOV,Для женщин,1.5 г,Родированное серебро,925,,Фианит,Маркиз,1 шт,Бесцветный,0.352 карат,,,,,,,,,,,,1800,3990,24,2 мм,6 мм,3 мм,,6 мм * 3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,94013993-91,SOKOLOV,Для женщин,2.12 г,Родированное серебро,925,Родирование,Стекло минеральное,,1 шт,Чёрный,2.65 карат,,,,,,,,,,,,3820,8490,24,,,,,"8, 25 мм * 8, 25 мм",SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,018377,SOKOLOV,Для женщин,3.3 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.451 карат,,,,Фианит,Круг,2 шт,Бесцветный,0.401 карат,,,,39600,87990,24,,,,,4 мм,,,,,,,,,,,,,,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,018620,SOKOLOV,Для женщин,1.89 г,Красное золото,585,Родирование,Фианит,Круг,8 шт,Бесцветный,0.068 карат,,,,,,,,,,,,27000,59990,24,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,018995,SOKOLOV,Для женщин,0.72 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.451 карат,,,,,,,,,,,,11250,24990,24,1 мм,4 мм,3 мм,5 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
